,id,release_date,movie,production_budget,domestic_gross,genres,tconst,runtime
0,1,2009-12-18,Avatar,425000000,760507625,Horror,tt1775309,93.0
1,2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,410600000,241063875,"Action,Adventure,Fantasy",tt1298650,136.0
2,3,2019-06-07,Dark Phoenix,350000000,42762350,"Action,Adventure,Sci-Fi",tt6565702,113.0
3,4,2015-05-01,Avengers: Age of Ultron,330600000,459005868,"Action,Adventure,Sci-Fi",tt2395427,141.0
4,5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,,,
5,6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000,936662225,,,
6,7,2018-04-27,Avengers: Infinity War,300000000,678815482,"Action,Adventure,Sci-Fi",tt4154756,149.0
7,8,2007-05-24,Pirates of the Caribbean: At Worldâs End,300000000,309420425,,,
8,9,2017-11-17,Justice League,300000000,229024295,"Action,Adventure,Fantasy",tt0974015,120.0
9,10,2015-11-06,Spectre,300000000,200074175,"Action,Adventure,Thriller",tt2379713,148.0
10,11,2012-07-20,The Dark Knight Rises,275000000,448139099,"Action,Thriller",tt1345836,164.0
11,12,2018-05-25,Solo: A Star Wars Story,275000000,213767512,"Action,Adventure,Fantasy",tt3778644,135.0
12,13,2013-07-02,The Lone Ranger,275000000,89302115,"Action,Adventure,Western",tt1210819,150.0
13,14,2012-03-09,John Carter,275000000,73058679,"Action,Adventure,Sci-Fi",tt0401729,132.0
14,15,2010-11-24,Tangled,260000000,200821936,"Adventure,Animation,Comedy",tt0398286,100.0
15,16,2007-05-04,Spider-Man 3,258000000,336530303,,,
16,17,2016-05-06,Captain America: Civil War,250000000,408084349,"Action,Adventure,Sci-Fi",tt3498820,147.0
17,18,2016-03-25,Batman v Superman: Dawn of Justice,250000000,330360194,"Action,Adventure,Fantasy",tt2975590,151.0
18,19,2012-12-14,The Hobbit: An Unexpected Journey,250000000,303003568,"Adventure,Family,Fantasy",tt0903624,169.0
19,20,2009-07-15,Harry Potter and the Half-Blood Prince,250000000,302089278,,,
20,21,2013-12-13,The Hobbit: The Desolation of Smaug,250000000,258366855,"Adventure,Fantasy",tt1170358,161.0
21,22,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000,255119788,"Adventure,Fantasy",tt2310332,144.0
22,23,2017-04-14,The Fate of the Furious,250000000,225764765,"Action,Crime,Thriller",tt4630562,136.0
23,24,2006-06-28,Superman Returns,232000000,200120000,,,
24,25,2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,"Action,Adventure,Fantasy",tt1790809,129.0
25,26,2008-11-14,Quantum of Solace,230000000,169368427,,,
26,27,2012-05-04,The Avengers,225000000,623279547,"Action,Adventure,Sci-Fi",tt0848228,143.0
27,28,2006-07-07,Pirates of the Caribbean: Dead Manâs Chest,225000000,423315812,,,
28,29,2013-06-14,Man of Steel,225000000,291045518,"Action,Adventure,Sci-Fi",tt0770828,143.0
29,30,2008-05-16,The Chronicles of Narnia: Prince Caspian,225000000,141621490,,,
30,31,2012-07-03,The Amazing Spider-Man,220000000,262030663,"Action,Adventure,Sci-Fi",tt0948470,136.0
31,32,2012-05-18,Battleship,220000000,65233400,"Action,Adventure,Sci-Fi",tt1440129,131.0
32,33,2017-06-21,Transformers: The Last Knight,217000000,130168683,"Action,Adventure,Sci-Fi",tt3371366,154.0
33,34,2015-06-12,Jurassic World,215000000,652270625,"Action,Adventure,Sci-Fi",tt0369610,124.0
34,35,2012-05-25,Men in Black 3,215000000,179020854,"Action,Adventure,Comedy",tt1409024,106.0
35,36,2009-06-24,Transformers: Revenge of the Fallen,210000000,402111870,,,
36,37,2014-06-27,Transformers: Age of Extinction,210000000,245439076,"Action,Adventure,Sci-Fi",tt2109248,165.0
37,38,2006-05-26,X-Men: The Last Stand,210000000,234362462,,,
38,39,2010-05-14,Robin Hood,210000000,105487148,"Action,Adventure,Drama",tt0955308,140.0
39,40,2005-12-14,King Kong,207000000,218080025,"Action,Adventure",tt7733440,
40,41,2007-12-07,The Golden Compass,205000000,70107728,,,
41,42,2018-02-16,Black Panther,200000000,700059566,"Action,Adventure,Sci-Fi",tt1825683,134.0
42,43,1997-12-19,Titanic,200000000,659363944,Adventure,tt2495766,
